runlist,algorithm_id,method,bit_rule,bit_allocator,contamination_id,contamination_mode,geometry_id,point_count,clean_point_count,seed,frame_estimator,refinement,sort_seconds,output_hash,bits_axis,robust_fallback_used,miad,m1_l1_locality,l1_locality,m1_l2_locality,l2_locality,recall_8_64,peak_rss_kb,block_read_mean,block_read_p95,cache_references,cache_misses,cache_miss_rate,perf_status,kendall_tau_clean,frame_angle_rad
table_4_outlier,A0_input,input,C0_uniform,uniform,D0,clean,E0,256,256,0,none,off,2.8454e-05,5354e0b9015c1e4f59b26e1797856fad7b2131d4a3e7ea31fc6d80e64ad31c8b,0 0 0,False,2.321296529497775,100.58850254103032,,3.645743743979623e-06,,,,,,,,,,1.0,
table_4_outlier,A0_input,input,C0_uniform,uniform,D0,clean,E0,256,256,1,none,off,2.2844e-05,5354e0b9015c1e4f59b26e1797856fad7b2131d4a3e7ea31fc6d80e64ad31c8b,0 0 0,False,2.2695304944496995,121.98414100588131,,1.3316536854720349e-06,,,,,,,,,,1.0,
table_4_outlier,A0_input,input,C0_uniform,uniform,D0,clean,E0,256,256,2,none,off,2.8134e-05,5354e0b9015c1e4f59b26e1797856fad7b2131d4a3e7ea31fc6d80e64ad31c8b,0 0 0,False,2.191056493897793,277.95114914311165,,2.3170352294515094e-06,,,,,,,,,,1.0,
table_4_outlier,A0_input,input,C0_uniform,uniform,D0,clean,E0,256,256,3,none,off,2.8174e-05,5354e0b9015c1e4f59b26e1797856fad7b2131d4a3e7ea31fc6d80e64ad31c8b,0 0 0,False,2.191664710630127,127.79649170832855,,2.5424879740335616e-06,,,,,,,,,,1.0,
table_4_outlier,A0_input,input,C0_uniform,uniform,D0,clean,E0,256,256,4,none,off,2.2573e-05,5354e0b9015c1e4f59b26e1797856fad7b2131d4a3e7ea31fc6d80e64ad31c8b,0 0 0,False,2.1766400750339683,132.17664410306716,,3.485260272989553e-06,,,,,,,,,,1.0,
table_4_outlier,A0_input,input,C0_uniform,uniform,D0,clean,E1,256,256,0,none,off,2.2613e-05,5354e0b9015c1e4f59b26e1797856fad7b2131d4a3e7ea31fc6d80e64ad31c8b,0 0 0,False,5.955309458701651,10313.905036874516,,7.756372379762745e-06,,,,,,,,,,1.0,
table_4_outlier,A0_input,input,C0_uniform,uniform,D0,clean,E1,256,256,1,none,off,2.1992e-05,5354e0b9015c1e4f59b26e1797856fad7b2131d4a3e7ea31fc6d80e64ad31c8b,0 0 0,False,6.132392471448548,10528.661793689564,,1.7773694992861937e-05,,,,,,,,,,1.0,
table_4_outlier,A0_input,input,C0_uniform,uniform,D0,clean,E1,256,256,2,none,off,2.2513e-05,5354e0b9015c1e4f59b26e1797856fad7b2131d4a3e7ea31fc6d80e64ad31c8b,0 0 0,False,5.666868857813024,10109.21860015811,,7.945196878835875e-06,,,,,,,,,,1.0,
table_4_outlier,A0_input,input,C0_uniform,uniform,D0,clean,E1,256,256,3,none,off,2.8835e-05,5354e0b9015c1e4f59b26e1797856fad7b2131d4a3e7ea31fc6d80e64ad31c8b,0 0 0,False,5.853615365320175,10412.509743973786,,1.8164029631596782e-05,,,,,,,,,,1.0,
table_4_outlier,A0_input,input,C0_uniform,uniform,D0,clean,E1,256,256,4,none,off,2.2533e-05,5354e0b9015c1e4f59b26e1797856fad7b2131d4a3e7ea31fc6d80e64ad31c8b,0 0 0,False,5.8881921411475275,12388.734038691131,,3.126932537561707e-05,,,,,,,,,,1.0,
