runlist,algorithm_id,method,bit_rule,bit_allocator,contamination_id,contamination_mode,geometry_id,point_count,clean_point_count,seed,frame_estimator,sort_seconds_off,sort_seconds_all,sort_seconds_all_minus_off,sort_seconds_all_minus_off_percent,miad_off,miad_all,miad_all_minus_off,miad_all_minus_off_percent,m1_l1_locality_off,m1_l1_locality_all,m1_l1_locality_all_minus_off,m1_l1_locality_all_minus_off_percent,l1_locality_off,l1_locality_all,l1_locality_all_minus_off,l1_locality_all_minus_off_percent,m1_l2_locality_off,m1_l2_locality_all,m1_l2_locality_all_minus_off,m1_l2_locality_all_minus_off_percent,l2_locality_off,l2_locality_all,l2_locality_all_minus_off,l2_locality_all_minus_off_percent,recall_8_64_off,recall_8_64_all,recall_8_64_all_minus_off,recall_8_64_all_minus_off_percent,block_read_mean_off,block_read_mean_all,block_read_mean_all_minus_off,block_read_mean_all_minus_off_percent,block_read_p95_off,block_read_p95_all,block_read_p95_all_minus_off,block_read_p95_all_minus_off_percent,cache_miss_rate_off,cache_miss_rate_all,cache_miss_rate_all_minus_off,cache_miss_rate_all_minus_off_percent,kendall_tau_clean_off,kendall_tau_clean_all,kendall_tau_clean_all_minus_off,kendall_tau_clean_all_minus_off_percent,frame_angle_rad_off,frame_angle_rad_all,frame_angle_rad_all_minus_off,frame_angle_rad_all_minus_off_percent
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,256.0,256.0,0.0,none,2.8273e-05,2.3304e-05,-4.969e-06,-17.5750716231,2.3212965295,2.3212965295,0,0,100.588502541,100.588502541,0,0,100.588502541,100.588502541,0,0,3.64574374398e-06,3.64574374398e-06,0,0,3.64574374398e-06,3.64574374398e-06,0,0,0.22314453125,0.22314453125,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,256.0,256.0,1.0,none,2.2442e-05,2.3173e-05,7.31e-07,3.25728544693,2.26953049445,2.26953049445,0,0,121.984141006,121.984141006,0,0,121.984141006,121.984141006,0,0,1.33165368547e-06,1.33165368547e-06,0,0,1.33165368547e-06,1.33165368547e-06,0,0,0.2373046875,0.2373046875,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,256.0,256.0,2.0,none,2.2433e-05,2.3454e-05,1.021e-06,4.55133062898,2.1910564939,2.1910564939,0,0,277.951149143,277.951149143,0,0,277.951149143,277.951149143,0,0,2.31703522945e-06,2.31703522945e-06,0,0,2.31703522945e-06,2.31703522945e-06,0,0,0.23291015625,0.23291015625,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,256.0,256.0,3.0,none,2.2603e-05,2.2923e-05,3.2e-07,1.41574127328,2.19166471063,2.19166471063,0,0,127.796491708,127.796491708,0,0,127.796491708,127.796491708,0,0,2.54248797403e-06,2.54248797403e-06,0,0,2.54248797403e-06,2.54248797403e-06,0,0,0.2412109375,0.2412109375,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,256.0,256.0,4.0,none,2.2102e-05,2.3154e-05,1.052e-06,4.75975024885,2.17664007503,2.17664007503,0,0,132.176644103,132.176644103,0,0,132.176644103,132.176644103,0,0,3.48526027299e-06,3.48526027299e-06,0,0,3.48526027299e-06,3.48526027299e-06,0,0,0.2275390625,0.2275390625,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,384.0,384.0,0.0,none,3.1529e-05,3.3633e-05,2.104e-06,6.67322147864,2.33137733422,2.33137733422,0,0,158.716226183,158.716226183,0,0,158.716226183,158.716226183,0,0,7.05777773578e-07,7.05777773578e-07,0,0,7.05777773578e-07,7.05777773578e-07,0,0,0.154296875,0.154296875,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,384.0,384.0,1.0,none,3.2401e-05,3.3494e-05,1.093e-06,3.3733526743,2.24964615969,2.24964615969,0,0,121.984141006,121.984141006,0,0,121.984141006,121.984141006,0,0,1.33165368547e-06,1.33165368547e-06,0,0,1.33165368547e-06,1.33165368547e-06,0,0,0.166666666667,0.166666666667,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,384.0,384.0,2.0,none,3.2742e-05,3.3694e-05,9.52e-07,2.90758047767,2.20923313716,2.20923313716,0,0,277.951149143,277.951149143,0,0,277.951149143,277.951149143,0,0,1.25946314711e-07,1.25946314711e-07,0,0,1.25946314711e-07,1.25946314711e-07,0,0,0.150065104167,0.150065104167,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,384.0,384.0,3.0,none,3.2592e-05,3.3895e-05,1.303e-06,3.99791359843,2.21771603514,2.21771603514,0,0,127.796491708,127.796491708,0,0,127.796491708,127.796491708,0,0,8.96877053936e-08,8.96877053936e-08,0,0,8.96877053936e-08,8.96877053936e-08,0,0,0.15625,0.15625,0,0,,,,,,,,,,,,,,,,,,,,
table_3_locality,A0_input,input,C0_uniform,uniform,D0,clean,E0,384.0,384.0,4.0,none,3.2912e-05,3.3593e-05,6.81e-07,2.06915410792,2.17112277904,2.17112277904,0,0,132.176644103,132.176644103,0,0,132.176644103,132.176644103,0,0,1.98182473979e-06,1.98182473979e-06,0,0,1.98182473979e-06,1.98182473979e-06,0,0,0.15625,0.15625,0,0,,,,,,,,,,,,,,,,,,,,
