scope,bit_rule,miad,normalized_miad,m1_l1,m1_l2,recall_8_64,sort_seconds,n_metric,n_runtime
synthetic clean,C0_uniform,1.02859,,2538.82,4.42501e-05,0.738344,0.00115592,70,105
synthetic clean,C1_monotone_half,1.13371,,752.533,0.00017985,0.786056,0.00115253,70,105
synthetic clean,C2_occupancy_floor1,0.692026,,834.325,0.000134322,0.821491,0.00113663,70,105
synthetic clean,C3_frame_core_occupancy,0.681455,,597.917,0.000182241,0.832322,0.00113155,70,105
synthetic clean,C4_hybrid,0.675458,,963.375,0.000150195,0.815551,0.00114812,70,105
real D0,C0_uniform,0.365533,0.00543735,753315,3.49147e-11,0.773125,2.2996,10,10
real D0,C1_monotone_half,1.90493,0.0322958,304629,3.49147e-11,0.293235,2.31643,10,10
real D0,C2_occupancy_floor1,0.425572,0.00641583,348826,3.49147e-11,0.774152,2.3166,10,10
real D0,C3_frame_core_occupancy,0.424174,0.00656109,344712,3.49147e-11,0.774398,2.31673,10,10
real D0,C4_hybrid,0.425572,0.00641583,348826,3.49147e-11,0.774152,2.31712,10,10
