algorithm_id,bit_rule,contamination_id,geometry_id,point_count,m1_l1_locality,m1_l2_locality,recall_8_64,miad
A0_input,C0_uniform,D0,E0,256.0,152.099 ± 88.6,2.66444e-06 ± 1.17e-06,0.232422 ± 0.00902,2.23004 ± 0.0779
A0_input,C0_uniform,D0,E0,384.0,163.725 ± 81.2,8.46978e-07 ± 1.01e-06,0.156706 ± 0.00759,2.23582 ± 0.0749
A0_input,C0_uniform,D0,E1,256.0,10750.6 ± 1.15e+03,1.65817e-05 ± 1.2e-05,0.225879 ± 0.0127,5.89928 ± 0.209
A0_input,C0_uniform,D0,E1,384.0,11887.6 ± 3.06e+03,6.78659e-06 ± 8.14e-06,0.156706 ± 0.00568,5.91171 ± 0.234
A0_input,C0_uniform,D0,E2,256.0,85587 ± 9.41e+03,4.0983e-05 ± 4.16e-05,0.230273 ± 0.0107,11.043 ± 0.432
A0_input,C0_uniform,D0,E2,384.0,94548.5 ± 2.44e+04,1.54352e-05 ± 2.33e-05,0.157161 ± 0.00408,11.0682 ± 0.439
A0_input,C0_uniform,D0,E5,256.0,15.6523 ± 0.00844,6.12269e-07 ± 9.83e-08,0.135937 ± 0.00252,1.39406 ± 0.000109
A0_input,C0_uniform,D0,E5,384.0,16.7122 ± 0.00128,9.903e-08 ± 2.72e-08,0.0315755 ± 0.000948,1.39448 ± 9.72e-05
A0_input,C0_uniform,D0,E6,256.0,17.5742 ± 0,2.72261e-06 ± 4.85e-07,0.169531 ± 0.00079,1.74411 ± 0.00116
A0_input,C0_uniform,D0,E6,384.0,17.5742 ± 0,1.12798e-06 ± 7.81e-07,0.0787109 ± 0.000723,1.74285 ± 0.00118
A0_input,C0_uniform,D0,E7,256.0,69.0126 ± 0,3.27114e-06 ± 1.64e-06,0.100391 ± 0.00266,1.99271 ± 0.000287
A0_input,C0_uniform,D0,E7,384.0,69.0126 ± 0,9.22657e-07 ± 5.02e-07,0.033724 ± 0.000542,1.99459 ± 0.00264
A0_input,C0_uniform,D0,E8,256.0,211.873 ± 62.2,7.8825e-07 ± 8.31e-07,0.23252 ± 0.0157,2.35721 ± 0.0878
A0_input,C0_uniform,D0,E8,384.0,218.015 ± 49.3,3.64608e-07 ± 4.62e-07,0.157292 ± 0.00877,2.40484 ± 0.0441
A0_input,C0_uniform,D1,E0,269.0,37634.9 ± 7.87e+03,2.66444e-06 ± 1.17e-06,0.241729 ± 0.0112,3.08413 ± 0.192
A0_input,C0_uniform,D1,E0,403.0,40757.6 ± 6.87e+03,8.46978e-07 ± 1.01e-06,0.173077 ± 0.00733,3.07085 ± 0.155
A0_input,C0_uniform,D1,E1,269.0,1.1881e+06 ± 5.29e+05,1.65817e-05 ± 1.2e-05,0.240335 ± 0.017,8.15933 ± 0.485
A0_input,C0_uniform,D1,E1,403.0,1.73702e+06 ± 9.22e+05,6.78659e-06 ± 8.14e-06,0.17866 ± 0.0104,8.31296 ± 0.748
A0_input,C0_uniform,D1,E2,269.0,8.99739e+06 ± 4.4e+06,4.0983e-05 ± 4.16e-05,0.245539 ± 0.019,15.3028 ± 0.914
A0_input,C0_uniform,D1,E2,403.0,1.3503e+07 ± 7.57e+06,1.54352e-05 ± 2.33e-05,0.180149 ± 0.00766,15.7014 ± 1.63
A0_input,C0_uniform,D1,E5,269.0,1169.42 ± 424,6.12269e-07 ± 9.83e-08,0.147955 ± 0.00635,1.60067 ± 0.0277
A0_input,C0_uniform,D1,E5,403.0,1172.19 ± 422,9.903e-08 ± 2.72e-08,0.0529777 ± 0.00298,1.59031 ± 0.0252
A0_input,C0_uniform,D1,E6,269.0,2517.25 ± 913,2.72261e-06 ± 4.85e-07,0.180855 ± 0.00515,2.01476 ± 0.0337
A0_input,C0_uniform,D1,E6,403.0,2543.05 ± 926,1.12798e-06 ± 7.81e-07,0.0993176 ± 0.00255,1.99962 ± 0.0335
A0_input,C0_uniform,D1,E7,269.0,5417.29 ± 1.82e+03,3.27114e-06 ± 1.64e-06,0.121375 ± 0.0106,2.29338 ± 0.104
